L cm,yi cm,Story Area,stories,architectural_archetype,connection_system,xi cm,D+0.25L,Direction,soil_class,seismic_zone,Story,Wall
162.0,1932.0,4918759.585999998,5,P,ATS,81.0,159330.43363914627,X,D,1,3,8.1
127.0,129.58,2526612.8516999995,6,C,ATS,897.24,86780.352615052,X,B,3,3,2.1
120.0,2483.0,4366070.964799999,3,Q,HD,1696.0,111389.98561860804,X,C,3,3,13.4
227.5,806.0,5302759.515700001,4,D,HD,2860.0,135167.7485555116,Y,A,3,4,H.2
127.0,129.58,2526612.8516999995,5,C,ATS,897.24,74171.12927172701,Y,D,3,5,2.1
289.0,1906.0,4366070.964799999,3,Q,HD,1393.0,121066.64556585804,Y,B,1,2,I.2
285.0,199.0,5302759.515700001,5,D,ATS,2553.0,184513.70578942396,Y,C,3,3,26.1
330.0,1839.0,4366070.964799999,5,Q,ATS,1569.0,144621.58206836408,X,B,1,3,10.3
162.0,788.0,4918759.585999998,4,P,HD,81.0,135130.53843563935,X,C,1,2,4.1
120.0,56.00000000000001,5302759.515700001,4,D,HD,2290.0,152389.86220986157,X,C,1,1,B.4
136.5,475.0,5302759.515700001,3,D,HD,2943.0,135167.7485555116,X,B,1,3,E.3
136.5,475.0,5302759.515700001,3,D,HD,508.0,150119.69246946156,X,B,3,2,E.1
120.0,6.9,2526612.8516999995,5,C,ATS,2074.01,86582.24576645202,X,A,3,2,1.2
232.0,468.0,5302759.515700001,4,D,HD,11.0,149789.6605980616,Y,A,3,3,1.1
195.0,898.0,4366070.964799999,5,Q,ATS,1745.0,127151.92774681412,Y,B,3,5,J.3
494.0,247.00000000000003,4366070.964799999,5,Q,ATS,627.0,144722.2708325641,Y,A,3,4,D.1
443.0,655.0,5302759.515700001,5,D,ATS,665.0,182015.13938437396,X,D,1,2,G.2
194.5,547.0,5302759.515700001,5,D,HD,2104.0,183062.916253424,Y,B,3,1,20.1
352.0,198.0,4366070.964799999,3,Q,HD,1745.0,121396.67743725804,Y,D,1,2,J.1
127.0,1079.42,2526612.8516999995,5,C,HD,1577.27,87268.92498275201,X,B,1,2,8.2
288.0,363.0,4366070.964799999,5,Q,ATS,328.0,146729.3184026641,X,A,3,1,3.1
120.0,127.0,5302759.515700001,3,D,HD,4271.0,135167.7485555116,Y,B,1,3,39.1
388.0,892.38,2526612.8516999995,4,C,HD,1090.36,64840.02839625081,Y,B,1,4,G.2
122.0,997.0,5302759.515700001,4,D,HD,4271.0,152106.56320401162,Y,B,3,1,39.3
471.0,1053.0,5302759.515700001,3,D,HD,2909.0,152243.9297496616,Y,D,3,2,30.1
570.0,1360.0,4918759.585999998,5,P,HD,1473.0,139929.7773657962,X,B,1,5,6.2
324.0,1033.3,2526612.8516999995,4,C,HD,416.35,72529.17816787581,Y,A,3,1,D.2
563.25,655.0,5302759.515700001,5,D,ATS,2476.0,186807.9596051239,X,D,3,1,G.5
443.0,655.0,5302759.515700001,4,D,HD,4167.0,149182.82780226163,X,A,1,2,G.8
169.0,774.5,2526612.8516999995,5,C,ATS,1970.56,87588.12614585202,X,C,1,2,6.2
